"","userID","age","sex","edu","major","work","IAT","self","HPC","perf","impr"
"709","U710",28,"M","High",FALSE,TRUE,30,2,14,56,-5
"710","U711",34,"M","Univ",FALSE,TRUE,35,3,9,51,6
"711","U712",21,"F","HighO",FALSE,FALSE,27,1,8,48,7
"712","U713",23,"M","High",FALSE,TRUE,26,5,6,61,-6
"713","U714",26,"F","High",FALSE,TRUE,33,4,16,62,-3
"714","U715",25,"M","Univ",FALSE,TRUE,17,2,12,54,-3
"715","U716",25,"M","High",FALSE,FALSE,30,3,14,45,11
"716","U717",29,"M","Univ",FALSE,FALSE,27,1,5,52,-2
"717","U718",27,"F","Univ",FALSE,TRUE,30,5,6,57,-4
"718","U719",22,"F","UnivO",TRUE,TRUE,29,4,10,56,-5
"719","U720",24,"M","Univ",TRUE,FALSE,33,2,7,52,-4
"720","U721",35,"M","Univ",TRUE,TRUE,23,3,8,58,-3
"721","U722",24,"M","UnivO",FALSE,TRUE,30,1,9,56,-6
"722","U723",21,"F","Univ",FALSE,TRUE,25,5,8,50,3
"723","U724",24,"M","High",FALSE,TRUE,20,4,12,45,6
"724","U725",31,"M","Univ",FALSE,TRUE,15,2,9,61,-9
"725","U726",20,"M","GradO",TRUE,FALSE,33,3,11,49,1
"726","U727",30,"M","Grad",FALSE,FALSE,34,1,5,52,5
"727","U728",26,"M","Univ",FALSE,TRUE,32,5,8,54,-8
"728","U729",25,"M","HighO",FALSE,TRUE,17,4,9,49,8
"729","U730",22,"F","Univ",FALSE,TRUE,34,2,11,46,8
"730","U731",21,"M","Univ",FALSE,TRUE,25,3,17,49,2
"731","U732",27,"F","Univ",FALSE,TRUE,32,1,8,59,-5
"732","U733",26,"F","UnivO",FALSE,TRUE,16,5,9,57,2
"733","U734",30,"M","Univ",FALSE,TRUE,37,4,8,57,-5
"734","U735",28,"M","Univ",FALSE,TRUE,30,2,14,55,-3
"735","U736",35,"F","HighO",FALSE,TRUE,21,3,15,47,6
"736","U737",29,"M","High",FALSE,TRUE,26,1,12,45,11
"737","U738",49,"M","Univ",FALSE,TRUE,17,5,11,49,3
"738","U739",22,"F","Univ",TRUE,TRUE,16,4,10,53,1
"739","U740",21,"M","Univ",FALSE,FALSE,31,2,13,41,11
"740","U741",24,"F","Univ",FALSE,TRUE,27,3,9,54,1
"741","U742",26,"M","Univ",FALSE,TRUE,15,1,10,54,-3
"742","U743",24,"M","HighO",FALSE,FALSE,31,5,9,46,7
"743","U744",25,"F","UnivO",FALSE,FALSE,28,4,9,51,0
"744","U745",30,"F","UnivO",FALSE,TRUE,25,2,14,51,4
"745","U746",24,"F","Univ",FALSE,TRUE,35,3,8,45,7
"746","U747",29,"M","Univ",FALSE,FALSE,33,1,10,50,2
"747","U748",31,"M","Univ",FALSE,TRUE,34,5,20,56,-9
"748","U749",24,"F","Univ",FALSE,TRUE,34,4,10,53,2
"749","U750",30,"M","High",FALSE,FALSE,28,2,8,52,0
"750","U751",30,"M","Grad",FALSE,TRUE,17,3,13,53,3
"751","U752",35,"F","Univ",TRUE,TRUE,26,1,13,50,1
"752","U753",24,"M","High",FALSE,FALSE,35,5,5,46,7
"753","U754",46,"M","High",FALSE,TRUE,31,4,10,53,-3
